"","t.test","welch.test","wilcox.test","f.test","kruskal.test","limma","rfe","rf","lasso","elasticnet","boosting","golub","shrinkcat","foldChange"
"SPG11",0,0,0,0,0,0,0,0,0,0,0,0,0,1.40173870875736
"POC1B",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.69434619686405
"KLHL15",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.299882918777442
"NAIP",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154725199447162
"LOC101927066",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.280996835239412
"IFIH1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0610295667471944
"MIR142",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5543731833078
"OAS1",0,0,0,0,0,0,0,0,0,0,0,0,0,-4.16688585005524
"UTP11L",0,0,0,0,0,0,0,0,0,0,0,0,0,1.28002427538703
"APOL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.270972773542706
"ATAD2B",0,0,0,0,0,0,0,0,0,0,0,0,0,1.11332608410577
"IL6ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0.69975995022312
"RAB11FIP3",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.686865904651414
"GADD45A",0,0,0,0,0,0,0,0,0,0,0,0,0,3.41132808998838
"CXCR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.705532522531203
"SPATA13",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994873273125659
"PARP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0.352364460099541
"IGLV@",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294075897551856
"OAS3",0,0,0,0,0,0,0,0,0,0,0,0,0,1.02512680019315
"MSRB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.428390002710233
"SLC7A11-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.970760182064276
"MRVI1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.495626978689771
"PIGK",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41512377743278
"VNN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.559204565194748
"NSUN7",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496336817260526
"PTPN7",0,0,0,0,0,0,0,0,0,0,0,0,0,0.188972176445045
