"","t.test","pvalue","welch.test","pvalue","wilcox.test","pvalue","f.test","pvalue","kruskal.test","pvalue","limma","pvalue","rfe","pvalue","rf","pvalue","lasso","pvalue","elasticnet","pvalue","boosting","pvalue","golub","pvalue","shrinkcat","pvalue"
"COL4A3BP",3.83361912018437,0.508,3.82749709511968,0.508,0.782120866005174,0,14.6966355586432,0.508,1.55019534567691,0,4.02481313375351,0,1.58493165540002e-06,1,-0.000480952380952381,1,0,1,0,1,0,1,0.426349845018353,1,3.28969080556842,1
"CD1E",2.65514481770477,1,2.64619102740846,1,0.863606586633124,1,7.04979400298448,1,2.25140139289961,1,1.24516777316388,1,2.65205823175288e-05,1,-0.000117647058823529,1,0,1,0,1,0,1,0.00541110586905977,1,0.773148365621438,1
"TRAF1",3.70996248856781,0,1.11388266645824,0,0.519562039630028,0,13.7638216665803,0,0.515967385765246,0,3.44152318703605,0,1.29496245577644e-05,1,0,1,0,1,0,1,0,1,0.188507062257954,0,2.09262053809025,1
"VSTM1",1.1150795837401,1,3.69394146013694,1,0.336937389783155,1,1.24340247807398,1,0.199762187871581,1,14.2198148543392,1,0.000340622287317236,1,0.000850738846263143,1,0,1,0,1,0,1,0.0301351312616887,1,1.0341089532617,1
"PLBD1",1.11262765782559,0,1.11138882594988,0,0.992068905585887,0,1.23794030495844,0,0.367929335824699,0,0.295587990495408,0,2.37193266716238e-06,1,-0.000206349206349206,0,0,1,0,1,0,1,0.536487003982001,0,3.8647869467191,1
"PQLC3",3.89002396331656,0,3.87809228032469,0,0.447740556408571,0,15.1322864351771,0,6.97900033973161,0,12.5063186623533,0,6.28696749550575e-05,1,0.000200501253132832,1,0,1,0,1,0,1,0.0848981105524139,0,0.729180368606622,0.508
"SIGLEC7",3.65338344794514,1,3.67299028384504,1,0.943977975023596,1,13.3472106177195,1,3.66910140988619,1,0.0389594119664679,1,0.000150212405534196,1,1e-04,1,0,1,0,1,0,1,0.237529909742369,1,2.52833139982025,1
"TES",3.67639091860119,1,3.6411389420415,1,0.999806421298428,1,13.5158501863733,1,13.1295226770851,1,0.0705074569737151,1,3.59690277069902e-05,1,0.00394311267298681,1,0,1,0,1,0,1,0.118981904308012,1,1.2485730506639,1
"TTYH2",1.55689001602428,1,1.79723188429892,1,0.0441992769536868,1,2.42390652199606,1,0.00407677934431796,1,2.41774452782299,1,0.000892636442999934,1,0.000459683794466403,1,0,1,0,1,0,1,0.343132390418204,1,1.78064062364149,1
"STX7",1.80046005829893,0.508,1.55847333565591,0.508,0.999891714600311,0.508,3.24165642152977,0.508,14.1912688975709,0.508,6.95474939042902,0.508,0.00019872900716878,1,0.000222222222222222,1,0,1,0,1,0,1,0.502046714124124,1,2.23571301542335,1
"SOCS1",1.27861191685899,1,0.115886327705588,1,0.997394258087179,1,1.63484843393383,1,8.81501613725158,1,21.1355145274478,1,3.21415440784565e-06,1,4e-04,1,0,1,0,1,0,1,0.390897725454606,1,1.89042892837127,1
"CCNYL1",0.116122069139228,1,1.27318012445214,1,0.910772510946377,1,0.0134843349411735,1,2.91719041956854,1,1.78262199471002,1,3.88743350180189e-09,1,0,1,0,1,0,1,0,1,0.372807986419953,1,1.17488822977715,1
"CAMP",1.38301376945497,1,1.96142802641769,1,0.99952851357773,1,1.91272708650206,1,11.7780703244437,1,2.75530074365943,1,3.48984422185551e-05,1,0.00041535657325131,1,0,1,0,1,0,1,0.527733862563082,1,1.83803023018297,1
"PTPRCAP",1.9595579303772,1,1.38913841060717,1,0.99977706231562,1,3.83986728250419,1,0.0430609818243588,1,16.1755282513045,1,2.54604553352524e-06,1,0.000275553012967201,1,0,1,0,1,0,1,0.136542693049858,1,1.7816497903138,1
"GNB4",0.51374387819505,1,0.580203769168421,1,0.278469020438119,1,0.26393277238288,1,12.9565780533379,1,2.5006574634629,1,8.08683963215024e-05,1,0,1,0,1,0,1,0,1,0.346408039772683,1,1.00410981169774,1
"STAC3",0.582108748344251,1,0.517954553601201,1,0.999999194831443,1,0.338850594898919,1,0.134788517071514,1,1.67362283961598,1,0.00025747300893292,1,0.0136472710917804,1,0,1,0,1,0,1,0.352859906657596,1,0.55149309601753,1
"ASXL1",0.196370640724147,1,0.19559338162772,1,0.999997596127408,1,0.0385614285384113,1,0.348819432648208,1,34.2875522132257,1,5.32589197750002e-05,1,-1e-04,1,0,1,0,1,0,1,0.0212428269099126,1,0.599715061081357,1
"ARPC3",0.569164945110477,1,0.56710884210779,1,0.999999614204688,1,0.323948734742604,1,21.576609478512,1,3.05212148587432,1,1.39558007503588e-06,1,0,1,0,1,0,1,0,1,0.381130575182134,1,1.53274833981366,1
"ADAM19",4.70118243269736,1,4.66141692851963,1,0.999462366090855,1,22.1011162655023,1,20.1191608629183,1,13.2339703930786,1,0.000148550362878509,1,-9.09090909090909e-05,1,0,1,0,1,0,1,0.12016255335069,1,0.325874296899309,1
"CD1C",1.6945792912045,1,1.68380744265166,1,0.999975571163532,1,2.87159897417914,1,22.6271445558009,1,28.8176000512978,1,7.6505721166473e-05,1,0.000105263157894737,1,0,1,0,1,0,1,0.516050515755679,1,0.886958681890931,1
"PTBP3",0.260005451608981,0,1.62685524066763,0,0.1445127846082,1,0.0676028348663991,0,11.5599626295227,1,12.1980218374105,0,4.45422152298105e-05,1,-4.84848484848485e-05,1,0,1,0,1,0,1,0.0348404739757101,1,0.788278102073944,1
"ETS1",1.57574301332623,1,1.73176349470652,1,0.999985249975744,1,2.48296604404641,1,16.4385935111262,1,0.614758756731798,1,1.32195485423575e-05,1,0.000665035987404408,1,0,1,0,1,0,1,0.0694198197732649,1,1.88991601444915,1
"GPR171",1.62344509987582,1,0.25866129867752,1,0.999104122367825,1,2.63557399231083,1,0.0366910140988619,1,0.475952130860108,1,5.05832340625077e-05,1,0.00125118743149434,1,0,1,0,1,0,1,0.38570291666093,1,0.702155136966692,1
